,상권코드,서비스업종코드명,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
4299,2110282,한식음식점,16.5,18.0,1.0,0.0,11.0,1.0,0.0,4.0,0.0,1.0,1403.0,1907.0,111043.0,59045.0,51999.0,14337.0,37436.0,14647,10416.0,11358.0,22850.0,29825,25766,13925.0,13395.0,15426.0,12707.0,15551,15689.0,15656.0,15732.0,15198.0,16054,17161,11640000.0,성북구
4303,2110452,제과점,2.0,3.0,0.0,0.0,26.0,0.0,0.0,13.0,1.0,1.0,420.0,3166.0,866707.0,397205.0,469503.0,130006.0,109021.0,128720,134393.0,127716.0,236853.0,208623,178003,105051.0,107097.0,157416.0,110517.0,124981,122514.0,120264.0,122124.0,121868.0,126833,128125,14340000.0,은평구
4304,2110452,호프-간이주점,3.0,3.0,0.0,0.0,26.0,0.0,0.0,13.0,1.0,1.0,420.0,3166.0,866707.0,397205.0,469503.0,130006.0,109021.0,128720,134393.0,127716.0,236853.0,208623,178003,105051.0,107097.0,157416.0,110517.0,124981,122514.0,120264.0,122124.0,121868.0,126833,128125,1000000.0,은평구
4306,2110452,치킨전문점,1.0,4.0,0.0,0.0,26.0,0.0,0.0,13.0,1.0,1.0,420.0,3166.0,866707.0,397205.0,469503.0,130006.0,109021.0,128720,134393.0,127716.0,236853.0,208623,178003,105051.0,107097.0,157416.0,110517.0,124981,122514.0,120264.0,122124.0,121868.0,126833,128125,11330000.0,은평구
4307,2110452,분식전문점,6.0,7.0,1.0,0.0,26.0,0.0,0.0,13.0,1.0,1.0,420.0,3166.0,866707.0,397205.0,469503.0,130006.0,109021.0,128720,134393.0,127716.0,236853.0,208623,178003,105051.0,107097.0,157416.0,110517.0,124981,122514.0,120264.0,122124.0,121868.0,126833,128125,4840000.0,은평구
4309,2110328,제과점,2.0,3.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,250.0,2457.0,894835.0,412007.0,482827.0,122607.0,150099.0,131254,128482.0,129518.0,232874.0,236100,191584,106363.0,102464.0,143510.0,114815.0,126441,126889.0,126227.0,129802.0,126005.0,125961,133511,8810000.0,성북구
4310,2110328,중식음식점,1.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,250.0,2457.0,894835.0,412007.0,482827.0,122607.0,150099.0,131254,128482.0,129518.0,232874.0,236100,191584,106363.0,102464.0,143510.0,114815.0,126441,126889.0,126227.0,129802.0,126005.0,125961,133511,3510000.0,성북구
4311,2110328,한식음식점,4.0,4.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,250.0,2457.0,894835.0,412007.0,482827.0,122607.0,150099.0,131254,128482.0,129518.0,232874.0,236100,191584,106363.0,102464.0,143510.0,114815.0,126441,126889.0,126227.0,129802.0,126005.0,125961,133511,12830000.0,성북구
4313,2120035,한식음식점,12.0,13.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,2257.0,389.0,294530.0,157241.0,137289.0,17544.0,66568.0,56328,52313.0,48702.0,53077.0,50574,63787,51648.0,50121.0,49906.0,28492.0,44319,47324.0,47478.0,47881.0,45947.0,32509,29071,27356250.0,중구
4316,2110665,한식음식점,13.0,14.0,0.0,0.0,15.0,1.0,0.0,9.0,0.0,1.0,469.0,4618.5,1605691.5,773008.5,846745.5,204184.5,308927.0,301314,271894.5,225837.75,313294.125,383523,328662,203338.5,205087.5,278791.5,196905.75,232917,230677.5,231595.5,233140.875,233997.375,218028,214056,3570000.0,강서구
