,상권코드,시군구명,서비스업종명,월예상매출,점수
2890,2120219,강남구,호프-간이주점,945.0,55.85
2891,2120219,강남구,패스트푸드점,552.0,45.64
2892,2120219,강남구,양식음식점,945.0,55.85
2893,2110767,영등포구,한식음식점,888.0,54.37
2894,2110007,종로구,한식음식점,1263.0,64.1
2895,2110446,은평구,분식전문점,727.0,50.19
2896,2130099,동대문구,커피-음료,520.0,44.81
2897,2130099,동대문구,제과점,433.0,42.55
2898,2110794,영등포구,커피-음료,983.0,56.83
2899,2110167,광진구,커피-음료,1462.0,69.27
2900,2110167,광진구,호프-간이주점,1338.0,66.05
2901,2110167,광진구,중식음식점,1338.0,66.05
2902,2110167,광진구,치킨전문점,1336.0,66.0
2903,2110167,광진구,한식음식점,1534.0,71.14
2904,2110884,관악구,중식음식점,959.0,56.21
2905,2110113,성동구,제과점,545.0,45.46
2906,2110867,관악구,분식전문점,1314.0,65.43
2907,2110474,은평구,호프-간이주점,1388.0,67.35
2908,2110474,은평구,육류판매,1388.0,67.35
2909,2110587,마포구,분식전문점,1678.0,74.88
2910,2130068,성동구,중식음식점,1076.0,59.25
2911,2130150,도봉구,제과점,1021.0,57.82
2912,2110430,노원구,한식음식점,792.0,51.87
2913,2120194,강남구,양식음식점,1447.0,68.88
2914,2120194,강남구,커피-음료,1433.0,68.52
2915,2120194,강남구,치킨전문점,1182.0,62.0
2916,2120194,강남구,한식음식점,1492.0,70.05
2917,2120194,강남구,패스트푸드점,1132.0,60.7
2918,2120194,강남구,호프-간이주점,1367.0,66.8
2919,2120194,강남구,일식음식점,1679.0,74.91
2920,2120197,강남구,육류판매,1435.0,68.57
2921,2120197,강남구,호프-간이주점,1435.0,68.57
2922,2120197,강남구,양식음식점,1340.0,66.1
2923,2120197,강남구,커피-음료,1345.0,66.23
2924,2120197,강남구,분식전문점,1340.0,66.1
2925,2120197,강남구,제과점,1133.0,60.73
2926,2120197,강남구,일식음식점,1271.0,64.31
2927,2120197,강남구,치킨전문점,1075.0,59.22
2928,2110477,은평구,한식음식점,967.0,56.42
2929,2110477,은평구,호프-간이주점,937.0,55.64
2930,2120005,종로구,양식음식점,851.0,53.41
2931,2120005,종로구,커피-음료,924.0,55.3
2932,2120005,종로구,제과점,899.0,54.65
2933,2120005,종로구,중식음식점,859.0,53.61
2934,2130064,성동구,중식음식점,554.0,45.69
